twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam
.524,.474,33,13,8,9,31,.923,121,6,240,Chicago Bulls
.513,.286,19,24,13,10,38,.735,109,13,240,Denver Nuggets
.434,.429,23,13,6,12,30,.656,99,9,240,San Antonio Spurs
.500,.385,17,19,4,11,35,.857,105,7,240,Miami Heat
.440,.471,20,17,7,14,38,.444,86,4,240,Los Angeles Lakers
.479,.556,15,16,3,9,27,.857,93,8,240,Memphis Grizzlies
.545,.357,24,14,13,14,35,.647,111,8,240,Oklahoma City Thunder
.600,.529,21,13,5,12,31,.826,124,8,240,Washington Wizards
.413,.353,23,16,2,11,23,.667,90,8,240,New York Knicks
.473,.333,16,11,2,11,33,.828,98,5,240,Detroit Pistons
.468,.370,24,11,4,11,35,.696,98,5,240,Cleveland Cavaliers
.463,.385,28,12,5,13,32,.818,102,9,240,Dallas Mavericks
.405,.455,23,14,5,13,28,.882,93,7,240,Portland Trail Blazers
.425,.444,20,13,3,11,30,.778,96,13,240,Houston Rockets
.422,.524,21,13,4,19,32,.750,102,6,240,Los Angeles Clippers
.450,.467,20,17,3,15,33,.765,92,8,240,New Orleans Hornets
.506,.250,26,13,6,11,35,.750,102,9,240,Minnesota Timberwolves
.466,.400,23,11,4,19,22,.850,105,12,240,Memphis Grizzlies
.506,.292,25,18,4,7,41,.882,100,6,240,New York Knicks
.533,.600,27,15,2,5,34,.615,103,6,240,Orlando Magic
.475,.476,22,14,5,6,27,.833,101,15,240,Atlanta Hawks
.539,.421,23,16,2,5,32,.920,113,4,240,San Antonio Spurs
.395,.476,27,16,5,16,36,.679,89,4,240,Chicago Bulls
.395,.368,16,12,7,16,24,.846,93,9,240,Indiana Pacers
.385,.118,11,14,10,14,33,.632,74,8,240,Los Angeles Clippers
.506,.667,28,14,4,13,31,.850,111,6,240,Miami Heat
.462,.500,21,12,4,16,32,.880,114,7,240,Detroit Pistons
.558,.333,24,19,8,13,31,.870,111,7,240,Minnesota Timberwolves
.530,.455,26,19,4,9,43,.750,111,12,240,Los Angeles Lakers
.500,.375,25,17,10,15,29,.789,103,10,240,Memphis Grizzlies
.427,.583,23,17,3,9,28,.783,89,14,240,New Orleans Hornets
.527,.417,24,19,5,8,36,.815,110,11,240,Oklahoma City Thunder
.434,.310,20,17,7,11,40,.731,94,5,240,Orlando Magic
.383,.357,20,15,4,11,40,.833,82,5,240,Dallas Mavericks
.500,.400,25,14,8,7,37,.783,98,3,240,Charlotte Bobcats
.528,.333,24,15,6,14,31,.789,114,6,240,Utah Jazz
.400,.455,19,9,6,16,34,.760,97,8,240,New Jersey Nets
.435,.429,23,9,7,12,30,.524,103,9,265,San Antonio Spurs
.507,.400,16,19,5,12,33,.684,104,9,240,Memphis Grizzlies
.469,.409,23,13,5,15,35,.750,97,6,240,Portland Trail Blazers
.360,.318,15,11,7,19,37,.733,93,6,240,Cleveland Cavaliers
.378,.556,14,14,4,16,27,.630,96,13,240,Detroit Pistons
.514,.526,18,13,6,10,28,.708,101,6,240,Houston Rockets
.500,.375,22,17,9,15,40,.750,108,11,240,Indiana Pacers
.475,.250,20,10,7,9,39,.786,90,8,240,Miami Heat
.388,.188,13,10,6,14,34,.885,92,4,240,Minnesota Timberwolves
.384,.368,16,17,3,21,32,.792,92,6,240,Milwaukee Bucks
.465,.414,21,16,5,14,26,.667,104,13,240,New York Knicks
.489,.321,20,14,12,17,27,.821,124,8,265,Oklahoma City Thunder
.425,.350,25,11,6,10,31,.844,102,10,240,Phoenix Suns
.386,.400,18,12,5,15,36,.737,90,6,240,Chicago Bulls
.404,.280,26,8,6,12,39,.714,89,9,240,Dallas Mavericks
.402,.227,23,16,11,17,40,.686,103,7,265,Denver Nuggets
.458,.391,22,9,6,13,25,.792,104,6,240,Golden State Warriors
.473,.318,21,11,3,10,26,.800,97,9,240,Houston Rockets
.458,.421,23,15,3,14,37,.864,103,11,240,Los Angeles Lakers
.434,.364,18,15,2,16,33,.760,93,6,240,Orlando Magic
.390,.484,19,17,3,12,34,.724,100,9,240,New Jersey Nets
.450,.308,15,19,13,10,38,.875,101,11,240,Oklahoma City Thunder
.468,.333,20,13,5,8,35,.793,104,8,240,Phoenix Suns
.462,.476,22,15,4,7,26,.800,106,10,240,San Antonio Spurs
.436,.500,23,17,7,15,34,.750,101,8,240,Cleveland Cavaliers
.500,.368,18,12,4,13,31,.710,117,7,265,Indiana Pacers
.397,.500,25,13,11,11,36,.724,89,7,240,Memphis Grizzlies
.556,.435,28,12,9,9,31,.870,120,8,240,Miami Heat
.593,.536,31,9,7,7,40,.833,137,5,240,Portland Trail Blazers
.400,.438,20,6,7,24,33,.844,102,5,240,Indiana Pacers
.544,.462,32,20,7,14,35,.750,110,4,240,Chicago Bulls
.404,.200,22,13,9,20,36,.750,89,5,240,New Orleans Hornets
.461,.400,21,17,4,17,32,.581,96,8,240,Los Angeles Lakers
.462,.278,16,13,2,4,34,.800,93,3,240,Houston Rockets
.442,.259,22,11,4,17,31,.714,103,8,240,Los Angeles Clippers
.403,.500,20,17,3,19,29,.711,100,5,240,Minnesota Timberwolves
.536,.448,32,12,4,16,30,.333,108,6,240,Orlando Magic
.475,.364,23,21,3,14,33,.625,99,15,240,New York Knicks
.500,.474,22,14,3,10,33,.743,119,9,240,Oklahoma City Thunder
.464,.450,19,7,4,13,27,.864,106,6,240,Golden State Warriors
.526,.429,30,12,9,10,37,.714,103,5,240,Toronto Raptors
.448,.235,18,10,6,18,29,.926,115,11,240,Sacramento Kings
.397,.412,19,18,4,11,36,.700,83,8,240,Atlanta Hawks
.477,.481,29,8,4,10,35,.826,114,7,240,San Antonio Spurs
.494,.286,19,16,10,14,32,.737,102,12,240,Miami Heat
.468,.280,17,12,9,7,37,.840,100,7,240,Oklahoma City Thunder
.456,.167,25,13,10,15,35,.700,99,11,240,Chicago Bulls
.446,.412,27,17,1,5,34,.929,86,6,240,Boston Celtics
.440,.280,23,19,4,12,41,.857,93,9,240,New Jersey Nets
.500,.385,26,15,8,11,33,.889,97,17,240,Philadelphia 76ers
.387,.350,14,13,3,8,29,.821,88,2,240,Houston Rockets
.440,.455,21,14,4,16,38,.719,102,11,240,Indiana Pacers
.513,.455,27,9,1,9,30,.704,109,4,240,Minnesota Timberwolves
.451,.320,30,11,3,20,26,.784,119,11,240,Milwaukee Bucks
.440,.250,23,17,7,16,33,.828,103,4,240,Sacramento Kings
.410,.083,20,11,9,9,44,.941,85,7,240,Golden State Warriors
.460,.188,26,14,5,18,34,.679,102,5,240,Boston Celtics
.484,.286,26,12,10,21,33,.625,104,7,240,Denver Nuggets
.500,.100,17,13,8,18,37,.750,109,3,240,Detroit Pistons
.488,.238,30,13,8,9,39,.773,104,7,240,Los Angeles Lakers
.488,.167,22,15,5,9,33,.842,96,12,240,Memphis Grizzlies
.442,.600,22,10,9,7,29,.783,95,4,240,Toronto Raptors
.506,.300,30,8,6,14,28,.667,120,10,240,New York Knicks
.385,.316,12,17,4,19,37,.765,92,6,240,Oklahoma City Thunder
.420,.467,16,15,3,13,37,.714,96,7,240,Chicago Bulls
.483,.333,27,18,6,13,37,1.000,104,7,240,Utah Jazz
.453,.417,20,16,8,16,32,.704,102,7,240,Orlando Magic
.514,.444,19,13,2,9,27,.778,105,5,240,Oklahoma City Thunder
.532,.375,27,16,7,11,33,.810,104,6,240,Phoenix Suns
.476,.545,22,9,5,12,29,.793,107,11,240,Miami Heat
.478,.522,30,9,9,7,26,1.000,108,10,240,Los Angeles Clippers
.453,.348,20,23,4,11,40,.867,99,7,240,Atlanta Hawks
.517,.250,35,15,4,6,34,.765,107,11,240,Boston Celtics
.528,.500,31,10,2,13,28,.667,112,9,240,Chicago Bulls
.443,.364,27,6,4,19,30,.657,117,9,240,Denver Nuggets
.537,.353,25,13,7,8,40,.808,115,2,240,Los Angeles Lakers
.455,.231,22,11,2,16,34,.824,97,7,240,New Orleans Hornets
.472,.471,21,9,4,11,40,.813,105,4,240,Philadelphia 76ers
.350,.333,19,12,8,15,37,.621,81,2,240,Phoenix Suns
.476,.500,20,18,5,14,41,.667,102,10,240,San Antonio Spurs
.469,.364,22,9,4,8,27,.688,102,10,240,Memphis Grizzlies
.422,.300,22,11,6,23,27,.741,99,8,240,Utah Jazz
.435,.471,21,12,2,11,30,.682,97,9,240,Atlanta Hawks
.480,.435,24,15,5,10,30,.833,102,11,240,Dallas Mavericks
.493,.545,19,14,9,7,25,.909,100,8,240,Memphis Grizzlies
.438,.474,24,14,10,15,34,.719,102,8,240,Indiana Pacers
.519,.519,26,19,4,14,32,.593,114,12,240,Orlando Magic
.538,.522,20,13,3,10,27,.857,122,4,240,Minnesota Timberwolves
.460,.381,26,18,9,15,37,.619,101,10,240,Washington Wizards
.437,.389,29,14,8,12,30,.818,115,12,265,Boston Celtics
.485,.294,20,16,3,7,31,.750,104,4,240,New Jersey Nets
.465,.429,17,13,2,12,37,.760,105,5,265,Los Angeles Clippers
.493,.294,19,16,10,13,31,.720,93,7,240,Los Angeles Lakers
.476,.438,21,13,6,9,36,.688,96,2,240,Chicago Bulls
.455,.417,17,15,9,14,39,.688,96,3,240,Phoenix Suns
.419,.353,19,9,6,10,39,.750,99,6,240,Denver Nuggets
.372,.400,19,14,5,14,37,.875,83,8,240,Toronto Raptors
.423,.600,20,16,8,18,42,.630,92,5,240,Chicago Bulls
.500,.556,24,13,7,13,33,.828,109,6,240,Utah Jazz
.455,.407,33,15,8,12,35,.800,119,9,265,Denver Nuggets
.398,.350,24,13,6,12,35,.870,97,4,240,Milwaukee Bucks
.400,.393,19,11,3,14,29,.741,95,2,240,Minnesota Timberwolves
.382,.296,13,15,7,14,31,.879,95,4,240,Oklahoma City Thunder
.431,.273,19,11,5,8,35,.750,86,8,240,Portland Trail Blazers
.443,.321,25,12,3,12,31,.464,92,3,240,Orlando Magic
.542,.652,27,14,4,10,37,.938,120,7,240,Golden State Warriors
.432,.286,26,13,2,4,34,.742,97,10,265,Boston Celtics
.475,.400,25,12,8,13,33,.741,100,8,240,Charlotte Bobcats
.388,.269,14,13,6,10,36,.867,95,9,240,Dallas Mavericks
.398,.300,17,7,1,14,34,.917,88,4,265,Detroit Pistons
.458,.421,23,13,5,14,31,.773,101,5,240,Atlanta Hawks
.584,.588,30,17,2,7,36,.889,108,6,240,Miami Heat
.448,.143,23,12,3,16,27,.833,99,10,240,Utah Jazz
.451,.304,23,13,1,5,31,.826,100,11,240,Cleveland Cavaliers
.525,.368,33,13,5,9,38,.905,110,11,240,Memphis Grizzlies
.438,.000,16,14,7,13,28,.760,89,16,240,Miami Heat
.518,.313,26,17,7,16,27,.882,106,6,240,Chicago Bulls
.474,.565,23,12,1,15,32,.731,106,5,240,Minnesota Timberwolves
.458,.400,24,18,3,9,25,.806,101,10,240,New Jersey Nets
.440,.308,18,13,10,15,29,.844,115,11,240,Oklahoma City Thunder
.483,.353,24,8,4,16,38,.733,103,8,240,Philadelphia 76ers
.500,.348,20,13,2,8,21,.652,99,13,240,Sacramento Kings
.541,.368,21,17,2,10,37,.760,118,8,240,San Antonio Spurs
.592,.500,31,15,5,6,30,.833,116,8,240,Toronto Raptors
.467,.269,24,13,7,17,34,.684,106,7,240,Washington Wizards
.421,.423,17,15,4,17,32,.774,99,3,240,Orlando Magic
.487,.214,23,10,6,8,34,.704,96,5,240,Phoenix Suns
.477,.444,27,7,3,9,23,.706,104,14,240,Boston Celtics
.361,.182,17,13,8,18,38,.731,83,4,240,New Jersey Nets
.562,.261,33,12,6,11,24,.688,110,9,240,Denver Nuggets
.559,.125,23,20,4,8,29,.600,86,3,240,Detroit Pistons
.484,.500,30,15,5,17,23,.762,119,8,240,Milwaukee Bucks
.476,.333,22,17,8,17,28,.778,105,5,240,Los Angeles Lakers
.418,.294,19,13,3,21,30,.625,96,13,240,Cleveland Cavaliers
.526,.429,26,13,5,10,36,.704,104,8,240,Philadelphia 76ers
.506,.407,25,14,6,10,24,1.000,110,8,240,Sacramento Kings
.512,.519,20,7,0,9,32,.833,120,7,240,Los Angeles Clippers
.558,.389,31,14,6,14,28,.750,111,8,240,Chicago Bulls
.527,.333,22,13,4,7,32,.800,105,10,240,Detroit Pistons
.541,.400,23,16,2,3,41,.840,111,17,240,Golden State Warriors
.467,.231,17,20,9,16,35,.645,93,8,265,Miami Heat
.459,.429,28,12,3,8,28,.875,95,7,240,New Orleans Hornets
.561,.563,28,9,6,10,25,.786,112,2,240,Houston Rockets
.630,.435,27,14,13,6,33,.769,122,8,240,Oklahoma City Thunder
.477,.364,24,16,6,16,36,.800,98,4,240,Phoenix Suns
.513,.235,19,7,5,9,32,.963,110,4,240,Portland Trail Blazers
.476,.550,25,13,4,10,31,.806,118,6,240,Cleveland Cavaliers
.507,.333,23,21,9,8,25,.652,94,10,240,Memphis Grizzlies
.514,.533,22,17,6,6,31,.810,97,6,240,Golden State Warriors
.507,.500,25,17,3,8,34,.654,97,8,240,Los Angeles Lakers
.506,.556,18,14,5,7,35,.808,106,12,240,Philadelphia 76ers
.468,.370,22,13,4,10,30,.767,107,7,240,Orlando Magic
.512,.333,23,15,5,11,34,.652,106,14,240,Atlanta Hawks
.479,.333,26,11,4,8,28,.829,105,6,240,Milwaukee Bucks
.430,.357,25,12,5,22,34,.679,104,7,240,Chicago Bulls
.493,.385,24,14,5,6,25,.852,94,8,240,Boston Celtics
.467,.400,32,12,2,9,30,.818,105,8,240,Milwaukee Bucks
.430,.000,16,17,7,11,36,.714,73,10,240,Charlotte Bobcats
.562,.636,30,11,3,12,27,.619,127,4,240,Minnesota Timberwolves
.540,.364,30,10,2,12,34,.526,112,6,240,San Antonio Spurs
.542,.636,24,15,2,7,31,.769,105,10,240,Utah Jazz
.500,.421,25,14,9,14,31,.667,96,3,240,Toronto Raptors
.506,.273,22,11,3,11,40,.867,107,8,240,Dallas Mavericks
.517,.350,30,13,4,9,34,.808,118,6,265,Denver Nuggets
.488,.364,24,12,1,9,41,.533,92,11,240,Indiana Pacers
.494,.300,24,18,5,6,45,.824,116,4,290,Los Angeles Lakers
.461,.417,25,11,6,11,26,.857,104,7,240,Houston Rockets
.493,.393,19,22,2,11,35,.568,104,14,265,Orlando Magic
.505,.500,20,7,6,9,36,.733,115,9,240,Golden State Warriors
.468,.526,20,15,8,14,36,.923,106,3,240,Chicago Bulls
.513,.462,32,17,3,10,27,.905,105,11,240,Boston Celtics
.536,.667,27,18,5,10,36,.647,107,9,240,Houston Rockets
.566,.412,23,7,6,9,28,.818,111,4,240,Indiana Pacers
.543,.500,20,11,5,7,29,.588,96,11,240,Los Angeles Clippers
.535,.304,38,15,6,16,33,.762,115,10,240,Milwaukee Bucks
.481,.412,20,14,6,12,36,.882,98,9,240,New Jersey Nets
.451,.263,24,19,3,11,33,.800,107,12,265,Los Angeles Lakers
.538,.500,35,19,0,11,31,.615,121,12,240,New York Knicks
.564,.474,29,12,6,3,31,.719,120,8,240,Phoenix Suns
.581,.615,29,10,2,10,27,.800,124,6,240,Detroit Pistons
.518,.500,27,6,3,11,34,.852,122,2,240,San Antonio Spurs
.452,.360,20,12,8,13,33,.762,101,6,240,Dallas Mavericks
.456,.480,22,13,9,8,31,.792,103,7,240,Oklahoma City Thunder
.410,.375,19,9,6,10,27,.783,91,7,240,Phoenix Suns
.520,.333,20,14,8,7,31,.882,99,7,240,Washington Wizards
.417,.385,22,11,6,17,38,.741,111,13,265,Utah Jazz
.482,.444,30,10,4,9,25,.769,102,13,240,Atlanta Hawks
.494,.524,17,8,3,9,26,.917,100,3,240,Portland Trail Blazers
.484,.455,33,8,4,16,38,.909,120,12,240,Milwaukee Bucks
.413,.455,21,13,12,11,36,.778,97,7,240,Los Angeles Lakers
.481,.467,19,22,6,9,30,.763,114,9,265,Toronto Raptors
.506,.440,22,11,7,10,34,.786,115,12,240,New York Knicks
.517,.474,16,17,8,15,34,.600,114,12,240,San Antonio Spurs
.507,.276,24,18,6,4,37,.714,86,8,240,Orlando Magic
.473,.333,25,16,7,6,36,.526,84,10,240,Miami Heat
.494,.500,32,13,6,14,26,.773,109,6,240,Phoenix Suns
.535,.429,29,14,3,9,36,.905,120,12,240,Sacramento Kings
.507,.444,25,17,1,7,21,.912,107,7,240,Charlotte Bobcats
.403,.286,15,14,8,17,36,.677,89,6,240,Chicago Bulls
.468,.458,21,11,2,9,39,.840,106,5,240,Dallas Mavericks
.459,.350,26,19,4,14,32,.742,98,10,240,Denver Nuggets
.416,.292,16,11,7,14,32,.775,102,8,240,New York Knicks
.407,.261,18,11,4,19,26,.704,95,10,240,Los Angeles Clippers
.506,.500,29,12,4,11,31,.923,102,6,240,New Orleans Hornets
.416,.154,20,15,7,20,45,.813,99,8,265,Utah Jazz
.506,.444,22,11,7,9,32,.750,103,5,240,Atlanta Hawks
.402,.200,23,10,4,10,30,.684,87,12,265,Los Angeles Clippers
.473,.200,28,13,4,10,31,.682,103,12,240,Utah Jazz
.400,.286,18,14,3,20,33,.730,97,12,240,Memphis Grizzlies
.459,.250,19,13,7,8,34,.778,91,8,240,Miami Heat
.554,.611,24,15,8,10,33,.643,111,8,240,Oklahoma City Thunder
.471,.350,25,9,6,10,29,.632,99,9,240,Phoenix Suns
.458,.286,21,11,4,11,31,.905,115,11,240,Sacramento Kings
.392,.375,21,16,6,6,34,.882,79,9,240,Boston Celtics
.535,.455,26,10,6,15,36,.889,105,5,240,Philadelphia 76ers
.536,.400,33,14,4,5,40,.800,112,11,240,Dallas Mavericks
.473,.429,24,16,5,9,39,.783,97,5,240,Minnesota Timberwolves
.461,.333,21,11,3,21,34,.667,105,6,240,Cleveland Cavaliers
.443,.389,19,14,3,11,37,.727,85,10,240,Chicago Bulls
.488,.450,24,17,5,16,24,.741,107,9,240,Houston Rockets
.486,.571,19,11,7,11,29,.923,102,2,240,Indiana Pacers
.474,.111,24,12,8,13,28,.743,99,13,240,Miami Heat
.481,.313,23,11,5,16,30,.697,106,12,240,New York Knicks
.578,.524,35,13,6,6,29,.692,116,10,240,Milwaukee Bucks
.534,.235,28,13,6,13,34,.656,119,11,240,Sacramento Kings
.475,.500,19,15,7,12,31,.727,97,8,240,Utah Jazz
.398,.400,23,7,6,11,27,.875,103,12,265,Atlanta Hawks
.584,.500,25,14,5,9,37,.769,109,4,240,Los Angeles Lakers
.582,.529,28,20,6,11,36,.682,116,5,240,Denver Nuggets
.482,.353,17,12,5,14,32,.759,108,10,240,Washington Wizards
.438,.483,27,9,10,8,25,.900,101,8,240,Golden State Warriors
.538,.409,20,16,9,14,35,.955,114,6,240,Oklahoma City Thunder
.470,.478,23,17,4,14,29,.667,103,6,240,Orlando Magic
.367,.154,12,12,4,14,33,.786,82,6,240,New York Knicks
.474,.368,29,14,3,17,39,.760,116,10,240,San Antonio Spurs
.439,.438,20,14,5,12,37,.652,94,5,240,Chicago Bulls
.471,.353,23,15,6,14,34,.852,109,8,240,Houston Rockets
.483,.412,30,12,11,6,41,.700,100,13,240,Boston Celtics
.576,.400,21,20,8,6,33,.794,97,4,240,New Orleans Hornets
.425,.400,22,16,6,8,30,1.000,97,6,240,Portland Trail Blazers
.473,.176,23,15,14,11,34,.824,103,4,240,Utah Jazz
.419,.222,17,16,3,14,26,.679,85,13,240,Indiana Pacers
.468,.333,19,8,4,5,33,.700,93,4,240,Atlanta Hawks
.533,.308,31,9,6,13,34,.571,112,5,240,Milwaukee Bucks
.442,.125,24,16,4,9,36,.900,88,15,240,Miami Heat
.488,.294,22,10,2,14,23,.703,113,6,240,Phoenix Suns
.471,.316,33,14,5,17,36,.654,103,6,240,Los Angeles Lakers
.531,.370,24,12,7,11,39,.950,149,12,290,Oklahoma City Thunder
.468,.343,24,18,7,12,35,.583,93,10,240,Orlando Magic
.446,.300,24,8,4,14,32,.778,99,7,240,Philadelphia 76ers
.489,.360,28,13,7,12,42,.818,104,6,240,San Antonio Spurs
.458,.077,22,17,6,12,34,.731,96,7,240,Toronto Raptors
.593,.467,32,14,8,11,27,.621,121,10,240,Utah Jazz
.398,.130,23,9,8,21,23,.654,102,12,265,Chicago Bulls
.489,.333,30,12,5,8,31,.857,111,5,240,Golden State Warriors
.463,.273,17,7,15,5,33,.875,101,3,265,Dallas Mavericks
.500,.313,24,11,4,9,27,.727,101,8,240,Los Angeles Clippers
.512,.583,19,10,5,14,35,.821,125,9,240,Indiana Pacers
.443,.313,24,14,2,16,30,.864,102,9,240,New Jersey Nets
.400,.105,17,7,6,16,26,.882,89,9,240,San Antonio Spurs
.487,.300,20,22,5,18,36,.633,101,13,240,New York Knicks
.487,.304,22,11,3,10,31,.667,95,5,240,Atlanta Hawks
.449,.316,29,11,6,15,49,.787,139,5,340,Atlanta Hawks
.486,.300,24,15,4,2,37,.944,88,9,240,Boston Celtics
.512,.353,31,11,6,13,26,.692,108,11,240,Phoenix Suns
.512,.462,25,13,7,14,28,.800,102,9,240,Memphis Grizzlies
.455,.343,25,9,5,18,24,1.000,117,6,240,Minnesota Timberwolves
.527,.545,26,16,3,8,28,.826,103,13,240,Oklahoma City Thunder
.365,.333,20,7,8,13,29,.667,90,8,240,Portland Trail Blazers
.457,.250,21,18,6,8,38,.667,93,15,240,San Antonio Spurs
.452,.167,21,9,8,8,29,.756,102,8,240,Boston Celtics
.500,.500,24,9,7,14,31,.750,108,10,240,Denver Nuggets
.483,.200,27,19,9,13,36,.852,113,6,265,Houston Rockets
.457,.556,20,14,4,14,35,.750,105,8,240,Indiana Pacers
.500,.308,25,14,4,6,17,.714,97,14,240,Los Angeles Clippers
.519,.357,29,18,2,13,36,.889,105,10,240,Utah Jazz
.351,.226,16,23,2,13,41,.857,89,9,240,New York Knicks
.543,.441,26,9,5,8,28,.737,117,8,240,Orlando Magic
.368,.231,12,18,5,15,34,.741,79,8,240,Detroit Pistons
.466,.316,18,13,2,3,40,.800,90,7,240,Dallas Mavericks
.419,.250,23,11,5,17,35,.794,104,3,240,Los Angeles Lakers
.425,.000,16,15,9,14,35,.893,93,9,240,Memphis Grizzlies
.500,.455,29,11,7,10,26,.938,108,10,240,Milwaukee Bucks
.489,.526,25,11,6,9,34,.600,103,8,240,Philadelphia 76ers
.489,.222,24,9,0,15,33,.846,107,6,240,San Antonio Spurs
.570,.353,16,14,8,9,34,.813,109,7,240,Oklahoma City Thunder
.469,.563,26,7,5,13,32,.650,98,5,240,Chicago Bulls
.468,.267,24,11,7,4,34,.857,94,6,240,Boston Celtics
.407,.381,22,13,3,13,37,.700,88,3,240,Minnesota Timberwolves
.422,.467,18,10,11,13,36,.625,87,7,240,Detroit Pistons
.544,.636,26,9,3,11,28,.643,102,8,240,New Orleans Hornets
.500,.368,26,12,5,13,35,.609,103,6,240,Los Angeles Clippers
.488,.438,24,13,4,13,30,.867,100,11,240,New Jersey Nets
.506,.353,24,11,4,16,33,.833,108,7,240,New York Knicks
.538,.500,28,15,2,12,30,.750,117,8,240,San Antonio Spurs
.407,.545,25,10,5,17,32,.697,105,5,240,Toronto Raptors
.392,.375,19,7,6,10,30,.781,93,9,240,Indiana Pacers
.462,.417,18,10,12,19,29,.765,102,5,240,Oklahoma City Thunder
.488,.294,22,12,5,11,33,.852,106,10,240,Miami Heat
.488,.429,26,9,8,10,23,.692,99,8,240,Portland Trail Blazers
.507,.211,18,17,6,9,31,.846,100,11,240,Atlanta Hawks
.521,.118,29,25,7,9,40,.724,99,4,240,Denver Nuggets
.427,.167,22,15,10,20,33,.810,83,6,240,Chicago Bulls
.568,.625,32,6,3,11,41,.611,121,9,240,Milwaukee Bucks
.432,.400,28,17,5,14,30,.800,102,14,240,New Jersey Nets
.521,.500,18,16,9,7,35,.750,98,5,240,Houston Rockets
.520,.381,26,12,6,7,24,.632,98,7,240,Los Angeles Clippers
.489,.333,29,9,3,13,32,.727,100,9,240,Boston Celtics
.475,.318,21,9,3,5,32,.810,100,9,240,Dallas Mavericks
.571,.357,26,8,5,11,19,.833,113,11,240,Miami Heat
.433,.250,16,11,10,16,32,.688,104,7,240,Sacramento Kings
.483,.412,26,13,7,12,40,1.000,97,5,240,Washington Wizards
.517,.400,19,16,4,15,31,.727,110,8,265,Detroit Pistons
.542,.476,23,12,5,5,30,.708,105,6,240,Los Angeles Clippers
.416,.318,28,14,5,12,35,.773,88,5,240,Los Angeles Lakers
.420,.267,15,17,5,18,40,.750,99,6,240,Memphis Grizzlies
.395,.321,14,17,5,17,30,.688,91,13,240,New York Knicks
.481,.500,25,11,4,9,32,.789,95,4,240,Philadelphia 76ers
.467,.357,30,19,7,16,32,.750,111,12,240,New Jersey Nets
.500,.474,22,10,5,10,30,.818,112,8,240,San Antonio Spurs
.471,.385,21,15,3,5,44,.909,91,7,240,Boston Celtics
.446,.400,23,15,10,14,40,.857,104,4,265,Indiana Pacers
.537,.526,31,15,7,15,35,.710,120,4,240,Los Angeles Lakers
.486,.444,20,13,9,3,37,.941,92,6,240,Oklahoma City Thunder
.556,.421,21,17,3,7,31,.762,104,5,240,Denver Nuggets
.493,.200,21,19,4,9,34,.905,92,6,240,Phoenix Suns
.523,.321,22,10,4,13,31,.900,119,3,240,Portland Trail Blazers
.481,.235,22,10,3,12,31,.913,99,8,240,Toronto Raptors
.472,.308,23,8,5,13,25,.786,99,11,240,Houston Rockets
.470,.344,16,10,2,13,36,.417,94,10,240,Los Angeles Clippers
.391,.250,12,8,1,14,29,.917,94,9,240,Memphis Grizzlies
.488,.267,23,13,1,12,30,.762,102,9,240,Utah Jazz
.506,.304,22,11,5,13,33,.821,116,8,240,Sacramento Kings
.518,.400,25,19,2,15,33,.759,112,7,240,Milwaukee Bucks
.593,.478,31,13,5,12,34,.857,125,10,240,San Antonio Spurs
.566,.273,25,14,5,12,33,.684,102,6,240,Detroit Pistons
.477,.261,18,8,4,16,29,.774,112,8,240,Indiana Pacers
.481,.318,27,16,1,11,39,1.000,91,4,240,Los Angeles Lakers
.463,.529,20,13,9,11,30,.625,98,9,240,Memphis Grizzlies
.467,.231,15,17,6,11,32,.813,99,13,240,Miami Heat
.444,.227,23,13,9,13,34,.857,109,5,240,Phoenix Suns
.461,.389,25,10,3,10,28,.682,92,7,240,Toronto Raptors
.566,.474,32,6,1,6,33,.895,120,7,240,Atlanta Hawks
.419,.250,17,17,4,12,41,.727,87,7,240,San Antonio Spurs
.500,.267,19,12,8,9,36,.688,95,7,240,Dallas Mavericks
.518,.375,25,11,8,12,32,.700,113,5,240,Los Angeles Lakers
.373,.417,16,13,8,8,25,.897,98,13,240,Miami Heat
.571,.182,21,16,5,11,30,.529,107,11,240,Milwaukee Bucks
.477,.250,24,12,8,8,29,.688,97,11,240,Golden State Warriors
.522,.500,23,18,10,11,30,.704,94,5,240,New Orleans Hornets
.506,.429,26,11,0,11,35,1.000,99,3,240,Toronto Raptors
.457,.500,24,15,6,11,35,.789,101,10,240,Portland Trail Blazers
.451,.419,24,11,7,14,28,.545,107,10,240,Phoenix Suns
.579,.364,27,13,8,5,26,.895,109,6,240,Indiana Pacers
.413,.313,22,12,8,14,30,.846,93,8,240,Chicago Bulls
.529,.400,16,19,2,11,29,.590,99,7,240,Detroit Pistons
.487,.520,24,11,0,10,31,.467,96,7,240,New York Knicks
.450,.263,17,18,3,13,30,.667,93,12,240,Los Angeles Clippers
.481,.267,30,12,5,12,30,.704,101,9,240,Atlanta Hawks
.436,.381,17,12,2,14,37,.818,99,5,265,Portland Trail Blazers
.402,.407,24,5,2,14,27,.645,105,8,240,Denver Nuggets
.412,.316,13,11,9,18,32,.794,103,8,240,Indiana Pacers
.477,.588,24,14,3,9,26,.818,112,9,240,Houston Rockets
.463,.471,20,10,6,12,30,.765,97,8,240,Memphis Grizzlies
.407,.333,27,10,6,11,34,.667,95,14,240,Milwaukee Bucks
.563,.389,32,14,6,11,24,.684,110,6,240,New Jersey Nets
