idGame,affluence
52f2f5cd90a4948418328769,20562
52f2f63a90a49484183287fb,20562
52f2f66690a4948418328837,20562
52f2f67790a494841832884e,20562
52f2f6fe90a49484183288ed,20562
52f2f83190a4948418328a76,20562
52f2f84d90a4948418328a9c,20562
52f2f86890a4948418328ac1,20562
52f2f8f990a4948418328b92,19907
52f2f90d90a4948418328bb2,20562
52f2f92e90a4948418328be5,19835
52f2f95890a4948418328c28,20562
52f30a201b34326811678c6c,15084
52f30a2e1b34326811678c7f,14173
52f30abb1b34326811678d34,16760
52f30b071b34326811678d89,17443
52f30b231b34326811678da8,17100
52f30b521b34326811678de0,12712
52f30b6a1b34326811678dfe,16812
52f30b7c1b34326811678e13,13459
52f30bdf1b34326811678e8d,17662
52f30cb81b34326811678f87,13576
52f30d041b34326811678fdd,19349
52f30d341b34326811679011,20562
52f30dbb1b343268116790af,16743
52f30e341b34326811679142,19172
52f30f111b34326811679216,13149
52f30f681b34326811679275,14192
52f30f7a1b34326811679289,15098
52f30fbb1b343268116792c8,20562
52f30fd41b343268116792e1,13264
52f30fe61b343268116792f1,14073
52f3102b1b34326811679330,16103
52f310621b34326811679363,13368
52f310931b34326811679395,12124
52f310cc1b343268116793c6,14689
52f311af1b3432681167948a,16341
52f2f5e290a4948418328786,20562
52f2f5ed90a4948418328794,20562
52f2f61b90a49484183287d1,20562
52f2f62c90a49484183287e8,20562
52f2f68790a4948418328862,20562
52f2f69590a4948418328875,20562
52f2f6c590a49484183288a1,20562
52f2f70890a49484183288fb,20562
52f2f71f90a494841832891a,20562
52f2f72c90a494841832892c,20562
52f2f74890a4948418328950,20562
52f2f75990a4948418328965,20562
52f2f7af90a49484183289c9,20562
52f2f7be90a49484183289da,20562
52f2f7e490a4948418328a0e,19642
52f2f80090a4948418328a33,18877
52f2f81390a4948418328a4d,19975
52f2f82790a4948418328a68,19475
52f2f83e90a4948418328a88,19154
52f2f85d90a4948418328ab2,18027
52f2f87690a4948418328ad2,19882
52f2f88890a4948418328aeb,18795
52f2f89c90a4948418328b07,18754
52f2f8a890a4948418328b17,19919
52f2f8c290a4948418328b3d,19811
52f2f8e890a4948418328b79,19343
52f2f8f090a4948418328b84,18923
52f2f90490a4948418328ba3,20226
52f2f93d90a4948418328bfe,20562
52f2f96690a4948418328c3a,20562
52f309fb1b34326811678c39,20562
52f30a881b34326811678cf6,13056
52f30a981b34326811678d0b,17871
52f30ac81b34326811678d44,13121
52f30ae81b34326811678d66,14798
52f30b301b34326811678db7,15195
52f30b3a1b34326811678dc3,17155
52f30b5e1b34326811678def,20562
52f30b821b34326811678e1a,13529
52f30b8f1b34326811678e2a,15971
52f30ba51b34326811678e44,20562
52f30bb91b34326811678e5d,13190
52f30bed1b34326811678e9c,14203
52f30c141b34326811678ec8,15645
52f30c451b34326811678f03,17307
52f30c5a1b34326811678f1c,14486
52f30c651b34326811678f2a,16099
52f30c7f1b34326811678f49,14759
52f30cbe1b34326811678f8d,14307
52f30cde1b34326811678fb1,16305
52f30cf51b34326811678fcb,14678
52f30d1f1b34326811678ffd,18086
52f30d411b34326811679021,20562
52f30da41b34326811679094,18633
52f30ddd1b343268116790dc,13687
52f30df51b343268116790fa,16624
52f30e0a1b34326811679114,17893
52f30e231b3432681167912d,16062
52f30e461b34326811679156,14146
52f30e681b34326811679176,13233
52f30e7e1b3432681167918d,14105
52f30eac1b343268116791b9,19443
52f30ed91b343268116791e0,12331
52f30ef51b343268116791fa,16866
52f30f961b343268116792a9,13939
52f30ff11b343268116792fb,20562
52f310021b3432681167930b,11556
52f310111b34326811679319,12162
52f310711b34326811679372,20562
52f310861b34326811679389,19784
52f310a51b343268116793a7,17032
52f311081b343268116793f5,13016
52f311171b34326811679402,20562
52f3114e1b34326811679433,17130
52f311681b34326811679443,17324
52f311931b3432681167946a,14863
52f311bf1b3432681167949d,13844
52f311c91b343268116794a9,19430
52f311df1b343268116794c4,19091
