twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam,gameid
.512,.478,29,17,3,9,35,.667,105,10,240,San Antonio Spurs,52f30ac21b34326811678d3d
.448,.357,23,16,10,9,33,.789,111,6,290,Toronto Raptors,52f30ac31b34326811678d3e
.470,.300,23,22,13,15,36,.688,92,10,240,Washington Wizards,52f30ac41b34326811678d3f
.486,.409,24,16,5,7,30,.704,98,10,240,Los Angeles Clippers,52f30ac41b34326811678d40
.466,.476,23,16,11,9,28,.684,91,6,240,Boston Celtics,52f30ac51b34326811678d41
.458,.429,21,16,7,9,36,.857,94,6,240,Boston Celtics,52f30ac61b34326811678d42
.456,.294,18,8,9,20,30,.606,107,5,240,Chicago Bulls,52f30ac71b34326811678d43
.456,.393,27,14,7,11,24,.762,99,7,240,New Jersey Nets,52f30ac81b34326811678d44
.549,.579,26,9,6,13,31,.682,116,6,240,Dallas Mavericks,52f30ac81b34326811678d45
.457,.296,18,13,5,8,38,.750,96,8,240,Denver Nuggets,52f30ac91b34326811678d46
.488,.625,29,16,5,9,40,.680,107,5,265,Atlanta Hawks,52f30aca1b34326811678d47
.477,.235,23,22,3,19,34,.865,120,8,240,Oklahoma City Thunder,52f30acb1b34326811678d48
.422,.333,22,16,7,19,36,.733,103,12,240,Houston Rockets,52f30acc1b34326811678d49
.463,.200,17,10,8,6,34,.885,99,9,240,Miami Heat,52f30acd1b34326811678d4a
.439,.222,18,9,1,10,36,.722,87,7,240,Minnesota Timberwolves,52f30acd1b34326811678d4b
.506,.357,20,12,3,12,31,.375,93,14,240,New Orleans Hornets,52f30ace1b34326811678d4c
.449,.400,19,14,2,13,34,.813,89,9,240,Philadelphia 76ers,52f30acf1b34326811678d4d
.473,.350,28,14,6,13,45,.842,109,14,240,Portland Trail Blazers,52f30ad01b34326811678d4e
.526,.545,26,14,10,5,27,.762,102,10,240,Washington Wizards,52f30ad11b34326811678d4f
.494,.333,19,16,5,9,38,.773,97,9,240,Houston Rockets,52f30ad11b34326811678d50
.500,.263,21,8,6,6,29,.938,100,7,240,Milwaukee Bucks,52f30ad21b34326811678d51
.487,.600,27,6,6,5,37,.667,95,7,240,Philadelphia 76ers,52f30ad31b34326811678d52
.364,.278,16,14,3,18,28,.708,86,6,240,Phoenix Suns,52f30ad41b34326811678d53
.443,.389,15,17,10,15,26,.826,96,9,240,Utah Jazz,52f30ad51b34326811678d54
.430,.231,12,13,4,11,26,.850,88,11,240,Cleveland Cavaliers,52f30ad61b34326811678d55
.440,.200,15,8,12,16,39,.750,101,7,265,Dallas Mavericks,52f30ad71b34326811678d56
.453,.467,20,9,11,13,32,.654,109,5,240,Los Angeles Clippers,52f30ad91b34326811678d57
.410,.375,19,13,5,12,36,.750,97,5,240,Miami Heat,52f30ada1b34326811678d58
.506,.421,19,11,7,7,34,.783,106,0,240,Los Angeles Lakers,52f30adb1b34326811678d59
.515,.214,18,10,4,7,31,.724,94,7,240,Toronto Raptors,52f30adc1b34326811678d5a
.444,.522,22,13,9,13,29,.588,94,10,240,Atlanta Hawks,52f30add1b34326811678d5b
.511,.471,24,14,1,13,30,.727,106,11,240,Indiana Pacers,52f30ade1b34326811678d5c
.581,.353,18,18,3,7,33,.903,120,6,240,Minnesota Timberwolves,52f30adf1b34326811678d5d
.563,.520,28,12,6,6,27,.600,112,10,240,Los Angeles Clippers,52f30ae01b34326811678d5e
.400,.417,23,17,4,14,32,.600,83,9,240,San Antonio Spurs,52f30ae11b34326811678d5f
.551,.400,23,15,3,11,28,.810,109,6,240,Miami Heat,52f30ae21b34326811678d60
.514,.588,21,15,5,7,34,.808,103,10,240,Milwaukee Bucks,52f30ae31b34326811678d61
.375,.267,22,6,4,9,38,.526,74,7,240,Philadelphia 76ers,52f30ae41b34326811678d62
.552,.519,31,10,3,10,34,.667,122,7,240,Dallas Mavericks,52f30ae51b34326811678d63
.381,.250,15,11,7,18,33,.684,93,9,240,Utah Jazz,52f30ae51b34326811678d64
.453,.300,22,19,3,12,28,.774,98,7,240,Chicago Bulls,52f30ae71b34326811678d65
.507,.357,25,14,2,7,21,.737,93,9,240,Boston Celtics,52f30ae81b34326811678d66
.407,.333,26,8,8,9,29,.846,93,8,240,Golden State Warriors,52f30ae91b34326811678d67
.521,.364,26,19,7,12,31,.722,106,11,240,Indiana Pacers,52f30aea1b34326811678d68
.553,.462,26,15,5,7,40,.909,106,4,240,Los Angeles Lakers,52f30aeb1b34326811678d69
.384,.500,18,17,9,17,31,.800,100,13,265,Memphis Grizzlies,52f30aed1b34326811678d6a
.600,.500,25,12,6,4,26,.800,113,12,240,New York Knicks,52f30aed1b34326811678d6b
.513,.389,21,15,6,9,31,.846,100,8,240,Atlanta Hawks,52f30aef1b34326811678d6c
.520,.500,30,10,6,6,40,.833,100,4,240,Boston Celtics,52f30af01b34326811678d6d
.407,.250,17,14,13,15,40,.727,95,11,240,Oklahoma City Thunder,52f30af11b34326811678d6e
.443,.435,30,12,5,13,27,.680,105,9,240,Milwaukee Bucks,52f30af21b34326811678d6f
.452,.467,19,12,6,8,37,.765,109,6,240,Indiana Pacers,52f30af31b34326811678d70
.481,.348,22,11,3,19,25,.600,99,5,240,New Jersey Nets,52f30af31b34326811678d71
.526,.400,22,8,6,7,28,.821,120,9,240,Phoenix Suns,52f30af41b34326811678d72
.452,.433,18,15,1,10,27,.769,109,8,240,Orlando Magic,52f30af51b34326811678d73
.476,.364,26,10,4,11,32,.737,98,10,240,Philadelphia 76ers,52f30af61b34326811678d74
.550,.500,26,17,11,6,37,.850,112,18,240,Portland Trail Blazers,52f30af71b34326811678d75
.461,.389,15,11,2,8,30,.710,99,10,240,San Antonio Spurs,52f30af81b34326811678d76
.483,.227,18,12,4,12,38,.783,107,8,240,Los Angeles Clippers,52f30af81b34326811678d77
.482,.286,22,12,4,15,34,.632,96,13,240,Memphis Grizzlies,52f30af91b34326811678d78
.469,.333,23,8,6,22,25,.840,119,10,240,Golden State Warriors,52f30afa1b34326811678d79
.534,.571,28,15,5,10,31,.880,112,4,240,Denver Nuggets,52f30afb1b34326811678d7a
.527,.500,22,14,9,9,28,.724,105,10,240,Chicago Bulls,52f30afc1b34326811678d7b
.447,.294,16,15,4,10,32,.759,95,7,240,Sacramento Kings,52f30afc1b34326811678d7c
.459,.211,16,9,3,10,30,.778,93,4,240,San Antonio Spurs,52f30afd1b34326811678d7d
.408,.500,21,17,6,15,25,.760,91,4,240,Boston Celtics,52f30afe1b34326811678d7e
.425,.480,25,14,5,15,33,.750,98,14,240,Indiana Pacers,52f30aff1b34326811678d7f
.474,.308,19,11,6,8,39,.600,93,8,240,Los Angeles Lakers,52f30b001b34326811678d80
.420,.286,19,15,6,11,36,.842,88,7,240,Detroit Pistons,52f30b001b34326811678d81
.438,.267,17,16,9,14,35,1.000,99,8,240,Houston Rockets,52f30b011b34326811678d82
.439,.438,24,16,3,16,31,.906,108,9,240,Minnesota Timberwolves,52f30b021b34326811678d83
.479,.412,14,17,12,10,25,.788,101,8,240,Oklahoma City Thunder,52f30b031b34326811678d84
.425,.346,19,5,10,10,35,.694,102,6,240,Orlando Magic,52f30b041b34326811678d85
.519,.615,19,8,4,5,42,.550,99,3,240,Miami Heat,52f30b041b34326811678d86
.452,.231,28,11,10,23,38,.679,106,5,240,Toronto Raptors,52f30b051b34326811678d87
.500,.444,25,7,2,9,28,.667,98,9,240,Philadelphia 76ers,52f30b061b34326811678d88
.398,.261,27,9,3,17,29,.733,91,12,240,Cleveland Cavaliers,52f30b071b34326811678d89
.449,.200,19,13,2,15,27,.739,89,7,240,Detroit Pistons,52f30b081b34326811678d8a
.403,.360,21,24,7,8,35,.783,85,7,240,Orlando Magic,52f30b081b34326811678d8b
.533,.467,31,13,4,11,42,.750,113,6,240,Chicago Bulls,52f30b091b34326811678d8c
.451,.300,21,16,2,14,34,.870,100,7,240,Minnesota Timberwolves,52f30b0a1b34326811678d8d
.446,.143,20,14,5,15,33,.885,99,5,240,New York Knicks,52f30b0b1b34326811678d8e
.400,.455,21,7,5,13,34,.708,95,5,240,Phoenix Suns,52f30b0c1b34326811678d8f
.535,.455,30,14,5,10,31,.833,117,11,240,Portland Trail Blazers,52f30b0d1b34326811678d90
.439,.455,21,18,4,20,35,.857,114,10,265,Sacramento Kings,52f30b0d1b34326811678d91
.420,.522,21,10,7,11,34,.840,107,4,240,San Antonio Spurs,52f30b0e1b34326811678d92
.448,.333,25,10,6,18,32,.700,96,6,240,Utah Jazz,52f30b0f1b34326811678d93
.542,.478,32,23,6,17,36,.353,107,8,240,Los Angeles Clippers,52f30b101b34326811678d94
.493,.350,28,18,5,7,38,.905,98,9,240,Boston Celtics,52f30b111b34326811678d95
.449,.333,15,14,2,4,32,.853,95,8,240,Miami Heat,52f30b121b34326811678d96
.519,.458,24,15,8,10,35,.857,99,2,240,Phoenix Suns,52f30b121b34326811678d97
.432,.526,21,16,5,6,34,.792,99,9,240,Houston Rockets,52f30b131b34326811678d98
.466,.438,15,18,9,9,37,.667,89,7,240,San Antonio Spurs,52f30b141b34326811678d99
.556,.600,29,13,2,9,30,.826,108,9,240,Chicago Bulls,52f30b151b34326811678d9a
.474,.333,17,9,5,11,30,.720,100,5,240,Sacramento Kings,52f30b161b34326811678d9b
.479,.321,19,17,5,7,31,.645,99,10,240,New York Knicks,52f30b161b34326811678d9c
.439,.419,21,12,1,10,36,.880,107,11,265,Los Angeles Clippers,52f30b171b34326811678d9d
.469,.471,27,4,2,8,22,.647,95,7,240,Philadelphia 76ers,52f30b181b34326811678d9e
.453,.273,17,19,8,18,41,.864,111,7,265,Oklahoma City Thunder,52f30b1a1b34326811678d9f
.488,.333,14,16,8,14,27,.732,111,9,265,Washington Wizards,52f30b1b1b34326811678da0
.506,.174,31,11,3,7,30,1.000,94,4,240,Boston Celtics,52f30b1c1b34326811678da1
.524,.423,24,15,3,8,25,.952,119,9,240,Oklahoma City Thunder,52f30b1d1b34326811678da2
.471,.286,18,8,6,5,32,.818,104,5,240,Indiana Pacers,52f30b1e1b34326811678da3
.464,.353,19,16,2,13,34,.885,107,7,240,Miami Heat,52f30b1f1b34326811678da4
.479,.360,28,12,4,16,29,1.000,107,6,240,Phoenix Suns,52f30b201b34326811678da5
.405,.286,21,16,6,12,37,.643,86,11,240,Minnesota Timberwolves,52f30b211b34326811678da6
.461,.429,24,15,5,13,32,.750,97,9,240,Atlanta Hawks,52f30b221b34326811678da7
.507,.389,24,15,8,10,26,.769,99,4,240,Cleveland Cavaliers,52f30b231b34326811678da8
.489,.321,30,12,6,11,35,.889,105,9,240,Dallas Mavericks,52f30b241b34326811678da9
.372,.364,18,16,4,21,38,.733,85,10,240,Memphis Grizzlies,52f30b241b34326811678daa
.534,.222,29,12,6,12,29,.655,99,10,240,Detroit Pistons,52f30b251b34326811678dab
.459,.250,29,12,1,12,37,.667,90,11,240,Chicago Bulls,52f30b261b34326811678dac
.422,.405,24,14,2,17,31,.714,102,8,240,Orlando Magic,52f30b271b34326811678dad
.440,.333,23,6,5,11,37,.808,100,6,240,San Antonio Spurs,52f30b281b34326811678dae
.526,.435,26,22,6,9,30,.579,103,10,240,Houston Rockets,52f30b291b34326811678daf
.458,.480,20,19,11,12,35,.730,105,11,240,Milwaukee Bucks,52f30b291b34326811678db0
.457,.250,18,8,4,11,31,.788,107,8,240,New York Knicks,52f30b2a1b34326811678db1
.396,.067,13,11,7,15,40,.750,88,6,265,Los Angeles Lakers,52f30b2b1b34326811678db2
.519,.520,22,17,14,6,35,.636,109,8,240,Golden State Warriors,52f30b2c1b34326811678db3
.488,.500,26,11,2,12,32,.667,96,7,240,Houston Rockets,52f30b2d1b34326811678db4
.404,.350,21,12,4,17,29,.731,106,13,240,Sacramento Kings,52f30b2e1b34326811678db5
.433,.400,22,10,4,18,35,.550,95,10,240,Chicago Bulls,52f30b2f1b34326811678db6
.408,.333,26,14,8,16,35,.806,113,7,265,Milwaukee Bucks,52f30b301b34326811678db7
.544,.400,25,20,6,15,32,.760,109,9,240,Detroit Pistons,52f30b311b34326811678db8
.466,.111,19,9,7,5,32,.784,98,9,240,Memphis Grizzlies,52f30b311b34326811678db9
.433,.429,25,18,8,8,30,.739,104,16,240,Dallas Mavericks,52f30b321b34326811678dba
.515,.235,24,16,9,8,25,.800,94,10,240,Portland Trail Blazers,52f30b331b34326811678dbb
.429,.238,16,14,1,8,33,.618,92,9,240,New York Knicks,52f30b341b34326811678dbc
.439,.353,23,10,4,6,37,.611,89,6,265,Atlanta Hawks,52f30b351b34326811678dbd
.388,.105,14,7,1,15,31,.667,78,6,240,Los Angeles Clippers,52f30b361b34326811678dbe
.440,.263,26,11,4,13,29,.750,86,9,240,Toronto Raptors,52f30b371b34326811678dbf
.473,.200,12,15,4,10,36,.844,101,10,240,Oklahoma City Thunder,52f30b371b34326811678dc0
.494,.333,22,15,7,8,38,.913,106,9,240,Miami Heat,52f30b381b34326811678dc1
.526,.400,29,8,4,11,37,.875,111,4,240,Los Angeles Clippers,52f30b391b34326811678dc2
.443,.429,21,6,5,7,33,.767,99,4,240,Philadelphia 76ers,52f30b3a1b34326811678dc3
.464,.316,21,23,4,10,47,.684,97,5,290,Dallas Mavericks,52f30b3b1b34326811678dc4
.494,.294,14,12,4,14,25,.667,113,8,240,Denver Nuggets,52f30b3c1b34326811678dc5
.432,.405,22,10,5,9,34,.667,99,4,240,Orlando Magic,52f30b3c1b34326811678dc6
.476,.368,20,19,1,7,31,.591,100,13,240,New York Knicks,52f30b3d1b34326811678dc7
.525,.318,25,13,6,10,33,.706,103,8,240,San Antonio Spurs,52f30b3e1b34326811678dc8
.500,.348,27,15,11,7,31,.800,98,7,240,Phoenix Suns,52f30b3f1b34326811678dc9
.458,.417,18,9,6,13,39,.839,107,6,240,Miami Heat,52f30b401b34326811678dca
.493,.231,24,18,9,8,36,.692,95,9,240,Boston Celtics,52f30b401b34326811678dcb
.468,.400,23,21,9,8,39,.857,98,8,240,Washington Wizards,52f30b411b34326811678dcc
.506,.542,24,15,4,6,29,.722,106,8,240,Golden State Warriors,52f30b421b34326811678dcd
.506,.385,26,13,6,13,26,.692,98,9,240,Utah Jazz,52f30b431b34326811678dce
.432,.435,19,15,3,12,29,.700,94,6,240,Los Angeles Lakers,52f30b441b34326811678dcf
.434,.333,21,7,6,9,31,.833,98,6,240,Philadelphia 76ers,52f30b451b34326811678dd0
.443,.333,21,11,1,8,28,.714,96,11,240,Dallas Mavericks,52f30b451b34326811678dd1
.453,.389,17,10,4,15,29,.810,102,7,240,Golden State Warriors,52f30b461b34326811678dd2
.518,.500,19,16,4,14,34,.840,114,9,240,Miami Heat,52f30b471b34326811678dd3
.427,.273,23,12,6,13,24,.679,86,14,240,New Orleans Hornets,52f30b481b34326811678dd4
.424,.400,20,9,5,8,35,.818,102,9,240,Orlando Magic,52f30b491b34326811678dd5
.524,.474,33,13,8,9,31,.923,121,6,240,Chicago Bulls,52f30b4a1b34326811678dd6
.513,.286,19,24,13,10,38,.735,109,13,240,Denver Nuggets,52f30b4b1b34326811678dd7
.434,.429,23,13,6,12,30,.656,99,9,240,San Antonio Spurs,52f30b4c1b34326811678dd8
.500,.385,17,19,4,11,35,.857,105,7,240,Miami Heat,52f30b4c1b34326811678dd9
.440,.471,20,17,7,14,38,.444,86,4,240,Los Angeles Lakers,52f30b4d1b34326811678dda
.479,.556,15,16,3,9,27,.857,93,8,240,Memphis Grizzlies,52f30b4e1b34326811678ddb
.545,.357,24,14,13,14,35,.647,111,8,240,Oklahoma City Thunder,52f30b4f1b34326811678ddc
.600,.529,21,13,5,12,31,.826,124,8,240,Washington Wizards,52f30b501b34326811678ddd
.413,.353,23,16,2,11,23,.667,90,8,240,New York Knicks,52f30b501b34326811678dde
.473,.333,16,11,2,11,33,.828,98,5,240,Detroit Pistons,52f30b511b34326811678ddf
.468,.370,24,11,4,11,35,.696,98,5,240,Cleveland Cavaliers,52f30b521b34326811678de0
.463,.385,28,12,5,13,32,.818,102,9,240,Dallas Mavericks,52f30b531b34326811678de1
.405,.455,23,14,5,13,28,.882,93,7,240,Portland Trail Blazers,52f30b541b34326811678de2
.425,.444,20,13,3,11,30,.778,96,13,240,Houston Rockets,52f30b551b34326811678de3
.422,.524,21,13,4,19,32,.750,102,6,240,Los Angeles Clippers,52f30b551b34326811678de4
.450,.467,20,17,3,15,33,.765,92,8,240,New Orleans Hornets,52f30b561b34326811678de5
.506,.250,26,13,6,11,35,.750,102,9,240,Minnesota Timberwolves,52f30b571b34326811678de6
.466,.400,23,11,4,19,22,.850,105,12,240,Memphis Grizzlies,52f30b581b34326811678de7
.506,.292,25,18,4,7,41,.882,100,6,240,New York Knicks,52f30b591b34326811678de8
.533,.600,27,15,2,5,34,.615,103,6,240,Orlando Magic,52f30b5a1b34326811678de9
.475,.476,22,14,5,6,27,.833,101,15,240,Atlanta Hawks,52f30b5a1b34326811678dea
.539,.421,23,16,2,5,32,.920,113,4,240,San Antonio Spurs,52f30b5b1b34326811678deb
.395,.476,27,16,5,16,36,.679,89,4,240,Chicago Bulls,52f30b5c1b34326811678dec
.395,.368,16,12,7,16,24,.846,93,9,240,Indiana Pacers,52f30b5d1b34326811678ded
.385,.118,11,14,10,14,33,.632,74,8,240,Los Angeles Clippers,52f30b5e1b34326811678dee
.506,.667,28,14,4,13,31,.850,111,6,240,Miami Heat,52f30b5e1b34326811678def
.462,.500,21,12,4,16,32,.880,114,7,240,Detroit Pistons,52f30b5f1b34326811678df0
.558,.333,24,19,8,13,31,.870,111,7,240,Minnesota Timberwolves,52f30b601b34326811678df1
.530,.455,26,19,4,9,43,.750,111,12,240,Los Angeles Lakers,52f30b611b34326811678df2
.500,.375,25,17,10,15,29,.789,103,10,240,Memphis Grizzlies,52f30b621b34326811678df3
.427,.583,23,17,3,9,28,.783,89,14,240,New Orleans Hornets,52f30b621b34326811678df4
.527,.417,24,19,5,8,36,.815,110,11,240,Oklahoma City Thunder,52f30b631b34326811678df5
.434,.310,20,17,7,11,40,.731,94,5,240,Orlando Magic,52f30b641b34326811678df6
.383,.357,20,15,4,11,40,.833,82,5,240,Dallas Mavericks,52f30b651b34326811678df7
.500,.400,25,14,8,7,37,.783,98,3,240,Charlotte Bobcats,52f30b661b34326811678df8
.528,.333,24,15,6,14,31,.789,114,6,240,Utah Jazz,52f30b661b34326811678df9
.400,.455,19,9,6,16,34,.760,97,8,240,New Jersey Nets,52f30b671b34326811678dfa
.435,.429,23,9,7,12,30,.524,103,9,265,San Antonio Spurs,52f30b681b34326811678dfb
.507,.400,16,19,5,12,33,.684,104,9,240,Memphis Grizzlies,52f30b691b34326811678dfc
.469,.409,23,13,5,15,35,.750,97,6,240,Portland Trail Blazers,52f30b6a1b34326811678dfd
.360,.318,15,11,7,19,37,.733,93,6,240,Cleveland Cavaliers,52f30b6a1b34326811678dfe
.378,.556,14,14,4,16,27,.630,96,13,240,Detroit Pistons,52f30b6b1b34326811678dff
.514,.526,18,13,6,10,28,.708,101,6,240,Houston Rockets,52f30b6c1b34326811678e00
.500,.375,22,17,9,15,40,.750,108,11,240,Indiana Pacers,52f30b6d1b34326811678e01
.475,.250,20,10,7,9,39,.786,90,8,240,Miami Heat,52f30b6e1b34326811678e02
.388,.188,13,10,6,14,34,.885,92,4,240,Minnesota Timberwolves,52f30b6f1b34326811678e03
.384,.368,16,17,3,21,32,.792,92,6,240,Milwaukee Bucks,52f30b6f1b34326811678e04
.465,.414,21,16,5,14,26,.667,104,13,240,New York Knicks,52f30b701b34326811678e05
.489,.321,20,14,12,17,27,.821,124,8,265,Oklahoma City Thunder,52f30b711b34326811678e06
.425,.350,25,11,6,10,31,.844,102,10,240,Phoenix Suns,52f30b721b34326811678e07
.386,.400,18,12,5,15,36,.737,90,6,240,Chicago Bulls,52f30b721b34326811678e08
.404,.280,26,8,6,12,39,.714,89,9,240,Dallas Mavericks,52f30b731b34326811678e09
.402,.227,23,16,11,17,40,.686,103,7,265,Denver Nuggets,52f30b741b34326811678e0a
.458,.391,22,9,6,13,25,.792,104,6,240,Golden State Warriors,52f30b741b34326811678e0b
.473,.318,21,11,3,10,26,.800,97,9,240,Houston Rockets,52f30b751b34326811678e0c
.458,.421,23,15,3,14,37,.864,103,11,240,Los Angeles Lakers,52f30b761b34326811678e0d
.434,.364,18,15,2,16,33,.760,93,6,240,Orlando Magic,52f30b771b34326811678e0e
.390,.484,19,17,3,12,34,.724,100,9,240,New Jersey Nets,52f30b781b34326811678e0f
.450,.308,15,19,13,10,38,.875,101,11,240,Oklahoma City Thunder,52f30b791b34326811678e10
.468,.333,20,13,5,8,35,.793,104,8,240,Phoenix Suns,52f30b7a1b34326811678e11
.462,.476,22,15,4,7,26,.800,106,10,240,San Antonio Spurs,52f30b7b1b34326811678e12
.436,.500,23,17,7,15,34,.750,101,8,240,Cleveland Cavaliers,52f30b7c1b34326811678e13
.500,.368,18,12,4,13,31,.710,117,7,265,Indiana Pacers,52f30b7d1b34326811678e14
.397,.500,25,13,11,11,36,.724,89,7,240,Memphis Grizzlies,52f30b7e1b34326811678e15
.556,.435,28,12,9,9,31,.870,120,8,240,Miami Heat,52f30b7f1b34326811678e16
.593,.536,31,9,7,7,40,.833,137,5,240,Portland Trail Blazers,52f30b801b34326811678e17
.400,.438,20,6,7,24,33,.844,102,5,240,Indiana Pacers,52f30b811b34326811678e18
.544,.462,32,20,7,14,35,.750,110,4,240,Chicago Bulls,52f30b821b34326811678e19
.404,.200,22,13,9,20,36,.750,89,5,240,New Orleans Hornets,52f30b821b34326811678e1a
.461,.400,21,17,4,17,32,.581,96,8,240,Los Angeles Lakers,52f30b831b34326811678e1b
.462,.278,16,13,2,4,34,.800,93,3,240,Houston Rockets,52f30b841b34326811678e1c
.442,.259,22,11,4,17,31,.714,103,8,240,Los Angeles Clippers,52f30b851b34326811678e1d
.403,.500,20,17,3,19,29,.711,100,5,240,Minnesota Timberwolves,52f30b851b34326811678e1e
.536,.448,32,12,4,16,30,.333,108,6,240,Orlando Magic,52f30b861b34326811678e1f
.475,.364,23,21,3,14,33,.625,99,15,240,New York Knicks,52f30b871b34326811678e20
.500,.474,22,14,3,10,33,.743,119,9,240,Oklahoma City Thunder,52f30b881b34326811678e21
.464,.450,19,7,4,13,27,.864,106,6,240,Golden State Warriors,52f30b891b34326811678e22
.526,.429,30,12,9,10,37,.714,103,5,240,Toronto Raptors,52f30b891b34326811678e23
.448,.235,18,10,6,18,29,.926,115,11,240,Sacramento Kings,52f30b8a1b34326811678e24
.397,.412,19,18,4,11,36,.700,83,8,240,Atlanta Hawks,52f30b8b1b34326811678e25
.477,.481,29,8,4,10,35,.826,114,7,240,San Antonio Spurs,52f30b8c1b34326811678e26
.494,.286,19,16,10,14,32,.737,102,12,240,Miami Heat,52f30b8c1b34326811678e27
.468,.280,17,12,9,7,37,.840,100,7,240,Oklahoma City Thunder,52f30b8d1b34326811678e28
.456,.167,25,13,10,15,35,.700,99,11,240,Chicago Bulls,52f30b8e1b34326811678e29
.446,.412,27,17,1,5,34,.929,86,6,240,Boston Celtics,52f30b8f1b34326811678e2a
.440,.280,23,19,4,12,41,.857,93,9,240,New Jersey Nets,52f30b901b34326811678e2b
.500,.385,26,15,8,11,33,.889,97,17,240,Philadelphia 76ers,52f30b901b34326811678e2c
.387,.350,14,13,3,8,29,.821,88,2,240,Houston Rockets,52f30b911b34326811678e2d
.440,.455,21,14,4,16,38,.719,102,11,240,Indiana Pacers,52f30b921b34326811678e2e
.513,.455,27,9,1,9,30,.704,109,4,240,Minnesota Timberwolves,52f30b931b34326811678e2f
.451,.320,30,11,3,20,26,.784,119,11,240,Milwaukee Bucks,52f30b941b34326811678e30
.440,.250,23,17,7,16,33,.828,103,4,240,Sacramento Kings,52f30b951b34326811678e31
.410,.083,20,11,9,9,44,.941,85,7,240,Golden State Warriors,52f30b961b34326811678e32
.460,.188,26,14,5,18,34,.679,102,5,240,Boston Celtics,52f30b971b34326811678e33
.484,.286,26,12,10,21,33,.625,104,7,240,Denver Nuggets,52f30b971b34326811678e34
.500,.100,17,13,8,18,37,.750,109,3,240,Detroit Pistons,52f30b981b34326811678e35
.488,.238,30,13,8,9,39,.773,104,7,240,Los Angeles Lakers,52f30b991b34326811678e36
.488,.167,22,15,5,9,33,.842,96,12,240,Memphis Grizzlies,52f30b9a1b34326811678e37
.442,.600,22,10,9,7,29,.783,95,4,240,Toronto Raptors,52f30b9b1b34326811678e38
.506,.300,30,8,6,14,28,.667,120,10,240,New York Knicks,52f30b9b1b34326811678e39
.385,.316,12,17,4,19,37,.765,92,6,240,Oklahoma City Thunder,52f30b9c1b34326811678e3a
.420,.467,16,15,3,13,37,.714,96,7,240,Chicago Bulls,52f30b9d1b34326811678e3b
.483,.333,27,18,6,13,37,1.000,104,7,240,Utah Jazz,52f30b9e1b34326811678e3c
.453,.417,20,16,8,16,32,.704,102,7,240,Orlando Magic,52f30b9f1b34326811678e3d
.514,.444,19,13,2,9,27,.778,105,5,240,Oklahoma City Thunder,52f30ba01b34326811678e3e
.532,.375,27,16,7,11,33,.810,104,6,240,Phoenix Suns,52f30ba11b34326811678e3f
.476,.545,22,9,5,12,29,.793,107,11,240,Miami Heat,52f30ba11b34326811678e40
.478,.522,30,9,9,7,26,1.000,108,10,240,Los Angeles Clippers,52f30ba21b34326811678e41
.453,.348,20,23,4,11,40,.867,99,7,240,Atlanta Hawks,52f30ba31b34326811678e42
.517,.250,35,15,4,6,34,.765,107,11,240,Boston Celtics,52f30ba41b34326811678e43
.528,.500,31,10,2,13,28,.667,112,9,240,Chicago Bulls,52f30ba51b34326811678e44
.443,.364,27,6,4,19,30,.657,117,9,240,Denver Nuggets,52f30ba51b34326811678e45
.537,.353,25,13,7,8,40,.808,115,2,240,Los Angeles Lakers,52f30ba61b34326811678e46
.455,.231,22,11,2,16,34,.824,97,7,240,New Orleans Hornets,52f30ba71b34326811678e47
.472,.471,21,9,4,11,40,.813,105,4,240,Philadelphia 76ers,52f30ba81b34326811678e48
.350,.333,19,12,8,15,37,.621,81,2,240,Phoenix Suns,52f30ba91b34326811678e49
.476,.500,20,18,5,14,41,.667,102,10,240,San Antonio Spurs,52f30baa1b34326811678e4a
.469,.364,22,9,4,8,27,.688,102,10,240,Memphis Grizzlies,52f30bab1b34326811678e4b
.422,.300,22,11,6,23,27,.741,99,8,240,Utah Jazz,52f30bab1b34326811678e4c
.435,.471,21,12,2,11,30,.682,97,9,240,Atlanta Hawks,52f30bac1b34326811678e4d
.480,.435,24,15,5,10,30,.833,102,11,240,Dallas Mavericks,52f30bad1b34326811678e4e
.493,.545,19,14,9,7,25,.909,100,8,240,Memphis Grizzlies,52f30bae1b34326811678e4f
.438,.474,24,14,10,15,34,.719,102,8,240,Indiana Pacers,52f30bae1b34326811678e50
.519,.519,26,19,4,14,32,.593,114,12,240,Orlando Magic,52f30baf1b34326811678e51
.538,.522,20,13,3,10,27,.857,122,4,240,Minnesota Timberwolves,52f30bb01b34326811678e52
.460,.381,26,18,9,15,37,.619,101,10,240,Washington Wizards,52f30bb11b34326811678e53
.437,.389,29,14,8,12,30,.818,115,12,265,Boston Celtics,52f30bb21b34326811678e54
.485,.294,20,16,3,7,31,.750,104,4,240,New Jersey Nets,52f30bb21b34326811678e55
.465,.429,17,13,2,12,37,.760,105,5,265,Los Angeles Clippers,52f30bb31b34326811678e56
.493,.294,19,16,10,13,31,.720,93,7,240,Los Angeles Lakers,52f30bb41b34326811678e57
.476,.438,21,13,6,9,36,.688,96,2,240,Chicago Bulls,52f30bb51b34326811678e58
.455,.417,17,15,9,14,39,.688,96,3,240,Phoenix Suns,52f30bb51b34326811678e59
.419,.353,19,9,6,10,39,.750,99,6,240,Denver Nuggets,52f30bb61b34326811678e5a
